source,target,direction,seed,method,delta_roc_auc,negative_adaptation_auc,global_importance_spearman,global_top3_overlap_fraction,global_importance_relative_l1_drift,patient_l1_drift_mean,patient_l2_drift_mean,patient_cosine_similarity_mean,patient_top3_overlap_mean,mean_absolute_probability_shift
cleveland,va_long_beach,cleveland -> va_long_beach,6,reliability_gated_sfda,0.0001315962626659,False,0.9761904761904764,1.0,0.0229396918709916,0.0496093233555893,0.0241866745389895,0.9999885744711507,0.9983333333333334,0.0040296375006437
cleveland,va_long_beach,cleveland -> va_long_beach,6,conservative_candidate,-2.220446049250313e-16,False,1.0,1.0,0.0079676411429393,0.0182612785469427,0.0094364252199986,0.9999892457020332,1.0,0.0015639762952923
cleveland,va_long_beach,cleveland -> va_long_beach,7,pseudo_label_sfda,0.001973943939992,False,1.0,1.0,0.0996296287930077,0.2334180519505753,0.1084122494265942,0.999445213871775,0.985,0.0194503723829984
cleveland,va_long_beach,cleveland -> va_long_beach,7,entropy_sfda,0.0017107514146597,False,0.9761904761904764,0.6666666666666666,0.1240275934390324,0.2941586754799937,0.141675862520147,0.998777625229295,0.9833333333333334,0.032671602834016
cleveland,va_long_beach,cleveland -> va_long_beach,7,reliability_gated_sfda,-0.0002631925253322,True,1.0,1.0,0.0233501446070744,0.0538688368183648,0.0260097616260052,0.9999738267256472,0.9933333333333334,0.0038244231790304
cleveland,va_long_beach,cleveland -> va_long_beach,7,conservative_candidate,-0.0003947887879984,True,1.0,1.0,0.0102836605845283,0.0246621025884815,0.0119235942185882,0.9999860726429708,0.995,0.0019822492077946
cleveland,va_long_beach,cleveland -> va_long_beach,8,pseudo_label_sfda,0.0043426766679824,False,0.9761904761904764,1.0,0.0998693213791047,0.2532980458918609,0.11803259750233,0.9993293652718614,0.9916666666666666,0.028350038062781
cleveland,va_long_beach,cleveland -> va_long_beach,8,entropy_sfda,0.0040794841426503,False,0.9761904761904764,1.0,0.1002933568669106,0.2601636032317765,0.1295356083364009,0.9990289011336224,0.9933333333333332,0.0306667451933026
cleveland,va_long_beach,cleveland -> va_long_beach,8,reliability_gated_sfda,0.0006579813133306,False,1.0,1.0,0.0213737200572681,0.0516289820389647,0.0249998580352738,0.9999893255227076,0.9983333333333334,0.0034739926084876
cleveland,va_long_beach,cleveland -> va_long_beach,8,conservative_candidate,0.0013159626266614,False,1.0,1.0,0.0092183105136805,0.0260301850306859,0.012731320582705,0.9999785843447476,1.0,0.0038985231146216
